#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
44        	5         	ok              	1.8840000000e+00	3.0000000000e+02	9.9587714087e+19	4.5485808717e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	5         	ok              	1.4720000000e+00	3.0000000000e+02	7.7809509095e+19	3.5538805962e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	5         	ok              	1.1490000000e+00	3.0000000000e+02	6.0735819260e+19	2.7740548947e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	5         	ok              	8.9750000000e-01	3.0000000000e+02	4.7441599465e+19	2.1668531488e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	5         	ok              	7.0090000000e-01	3.0000000000e+02	3.7049378346e+19	1.6921976290e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	5         	ok              	5.4730000000e-01	3.0000000000e+02	2.8930125223e+19	1.3213579146e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	5         	ok              	4.2740000000e-01	3.0000000000e+02	2.2592244692e+19	1.0318808198e+19	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	5         	ok              	3.3380000000e-01	3.0000000000e+02	1.7644574821e+19	8.0590036889e+18	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	5         	ok              	2.6070000000e-01	3.0000000000e+02	1.3780529226e+19	6.2941349961e+18	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	5         	ok              	2.0360000000e-01	3.0000000000e+02	1.0762239166e+19	4.9155576724e+18	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	5         	ok              	1.5900000000e-01	3.0000000000e+02	8.4046956156e+18	3.8387704809e+18	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	5         	ok              	1.2420000000e-01	3.0000000000e+02	6.5651773299e+18	2.9985867530e+18	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	5         	ok              	9.6960000000e-02	3.0000000000e+02	5.1252785338e+18	2.3409256970e+18	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	5         	ok              	7.5720000000e-02	3.0000000000e+02	4.0025380629e+18	1.8281239045e+18	4.9584719776e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	5         	ok              	5.9130000000e-02	3.0000000000e+02	3.1255952940e+18	1.4275880411e+18	4.9584719775e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	5         	ok              	4.6180000000e-02	3.0000000000e+02	2.4410619089e+18	1.1149334642e+18	4.9584719775e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	5         	ok              	3.6060000000e-02	3.0000000000e+02	1.9061215339e+18	8.7060417322e+17	4.9584719774e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	5         	ok              	2.8160000000e-02	3.0000000000e+02	1.4885297391e+18	6.7987280970e+17	4.9584719772e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	5         	ok              	2.1990000000e-02	3.0000000000e+02	1.1623852614e+18	5.3090920048e+17	4.9584719770e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	5         	ok              	1.7180000000e-02	3.0000000000e+02	9.0813000405e+17	4.1478035762e+17	4.9584719765e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	5         	ok              	1.3410000000e-02	3.0000000000e+02	7.0884885638e+17	3.2376045377e+17	4.9584719758e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	5         	ok              	1.0470000000e-02	3.0000000000e+02	5.5344127700e+17	2.5277941469e+17	4.9584719747e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	5         	ok              	8.1800000000e-03	3.0000000000e+02	4.3239251616e+17	1.9749146248e+17	4.9584719729e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	5         	ok              	6.3880000000e-03	3.0000000000e+02	3.3766789628e+17	1.5422682913e+17	4.9584719698e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	5         	ok              	4.9890000000e-03	3.0000000000e+02	2.6371714666e+17	1.2045047754e+17	4.9584719649e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	5         	ok              	3.8960000000e-03	3.0000000000e+02	2.0594147157e+17	9.4061948388e+16	4.9584719567e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	5         	ok              	3.0420000000e-03	3.0000000000e+02	1.6079926972e+17	7.3443646560e+16	4.9584719433e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	5         	ok              	2.3760000000e-03	3.0000000000e+02	1.2559469532e+17	5.7364268319e+16	4.9584719214e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
